,Philippines,2020-02-02 03:33:00,2,0,0,1,122.7312101,12.7503486,104900000
,Singapore,2020-02-05 16:33:00,28,0,0,0,103.8194992,1.357107,5612000
,South Korea,2020-02-05 15:33:00,19,0,0,0,127.9408564,36.5581914,51470000
,Spain,2020-02-01 23:43:00,1,0,0,0,-4.8380649,39.3262345,46660000
,Sri Lanka,2020-02-01 23:43:00,1,0,0,0,80.7137847,7.5554942,21440000
,UK,2020-02-01 19:43:00,2,0,0,0,-3.2765753,54.7023545,66440000
,United Arab Emirates,2020-02-02 05:43:00,5,0,0,0,53.9994829,24.0002488,9400000
,Japan,2020-02-04 16:43:00,22,0,1,0,139.2394179,36.5748441,126800000
,Vietnam,2020-02-03 21:43:00,8,0,1,0,108.4265113,13.2904027,95540000
,Thailand,2020-02-04 15:33:00,25,0,5,0,100.83273,14.8971921,68040000
,Brazil,2020-01-23 12:00:00,0,1,0,0,-53.2,-10.3333333,209300000
,Colombia,2020-01-23 12:00:00,0,1,0,0,-73.783892,2.8894434,49070000
,Mexico,2020-01-23 12:00:00,0,1,0,0,-99.1331785,19.4326296,129200000
,Australia,2020-01-27 09:00:00,5,0,0,0,134.755,-24.7761086,24600000
,France,2020-02-01 10:00:00,6,0,0,0,1.8883335,46.603354,66990000
,Ivory Coast,2020-01-27 20:30:00,0,0,0,0,-5.5679458,7.9897371,24290000
,Nepal,2020-02-01 10:00:00,1,0,0,0,84.0917139,28.1083929,29300000
,Russia,2020-02-01 10:00:00,2,0,0,0,97.7453061,64.6863136,144500000
,Sweden,2020-02-01 10:00:00,1,0,0,0,14.5208584,59.6749712,10120000
